47,down,光华村街
47,down,光华村街西
47,down,瑞联路东
47,down,瑞联路中
47,down,瑞联路西
47,down,万家湾
47,down,光华南三路
47,down,万家湾公交站
测试1,up,公交总站
测试1,up,乐山广场北
测试1,up,大佛景区南游客中心
测试1,up,嘉华水泥厂
测试1,down,嘉华水泥厂
测试1,down,大佛景区南游客中心
测试1,down,乐山广场北
测试1,down,公交总站
